BILBAO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,014;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
30 Mar.;;0;0;0;0;13;;0;0;;0;;0;0;98;;0;;2;0;16;;0;;;0;0;0;;1;0;;19;1;34;1;3;36;0;0;6;;0;0;;0;0;11;241;0;;
31 Mar.;;0;0;1;0;16;;0;0;;0;;0;0;89;;0;;0;0;20;;0;;;0;0;0;;2;0;;19;2;73;1;1;76;0;0;4;;0;0;;0;0;15;319;4;;
1  Abr.;;0;0;1;0;32;;0;0;;0;;0;0;154;;0;;1;0;22;;0;;;0;0;0;;0;0;;34;4;73;2;0;88;0;0;2;;0;0;;0;0;19;432;7;;
2  Abr.;;0;0;0;0;17;;0;0;;0;;1;0;82;;0;;1;0;7;;0;;;0;0;0;;1;0;;14;1;32;0;0;28;0;0;0;;0;0;;0;0;7;191;0;;
3  Abr.;;0;0;1;0;10;;0;0;;0;;0;0;3;;0;;0;0;1;;0;;;0;0;0;;1;0;;6;0;15;3;1;12;0;0;2;;0;0;;0;0;4;59;0;;
4  Abr.;;0;0;0;0;13;;0;0;;0;;0;0;7;;0;;1;0;1;;0;;;0;0;0;;4;0;;8;2;17;1;2;55;0;0;2;;0;0;;1;0;14;128;1;;
5  Abr.;;0;0;0;0;8;;0;0;;0;;0;0;11;;0;;0;0;0;;0;;;0;0;0;;2;0;;4;1;16;1;1;34;0;0;4;;0;0;;0;0;15;97;0;;
6  Abr.;;0;0;0;0;57;;0;0;;0;;0;0;53;;0;;1;0;1;;0;;;0;0;0;;5;0;;19;7;54;10;2;145;0;0;7;;0;0;;0;0;24;385;1;;
7  Abr.;;0;0;0;0;37;;0;0;;0;;0;0;12;;0;;3;1;9;;0;;;0;0;0;;4;0;;17;2;17;2;4;45;0;0;0;;0;0;;0;0;32;185;0;;
8  Abr.;;0;0;0;0;7;;0;0;;0;;0;0;2;;0;;1;0;1;;0;;;0;0;0;;2;0;;4;0;9;0;0;14;0;0;0;;0;0;;0;0;4;44;0;;
9  Abr.;;0;0;0;0;10;;0;0;;0;;1;0;7;;0;;0;1;5;;0;;;0;0;0;;5;0;;10;2;44;1;5;55;0;0;1;;0;0;;0;0;11;158;0;;
10 Abri.;;0;0;0;0;2;;0;0;;0;;0;0;4;;0;;1;0;1;;0;;;0;0;0;;0;0;;1;0;2;0;0;4;0;0;0;;0;0;;0;0;1;16;0;;
11 Abri.;;0;0;0;0;1;;0;0;;0;;0;0;2;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;5;0;0;0;;0;0;;0;0;2;11;0;;
12 Abri.;;0;0;0;0;2;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;3;0;1;0;0;11;0;0;0;;0;0;;0;0;1;19;0;;
13 Abri.;;0;0;0;0;1;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;5;0;0;0;;0;0;;0;0;0;7;0;;
14 Abri.;;0;0;0;0;29;;0;0;;0;;1;0;19;;0;;1;0;2;;0;;;0;0;0;;4;0;;11;4;21;4;1;80;0;0;2;;0;0;;0;0;9;188;0;;
15 Abri.;;0;0;0;0;50;;0;0;;0;;0;0;22;;0;;0;0;3;;0;;;0;0;0;;5;0;;20;2;16;5;1;90;0;0;1;;0;0;;0;0;20;235;0;;
16 Abri.;;0;0;0;0;4;;0;0;;0;;0;0;2;;0;;1;0;1;;0;;;0;0;0;;1;0;;0;1;0;1;1;7;0;0;1;;0;0;;0;0;10;30;0;;
17 Abri.;;0;0;0;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;2;0;;1;3;0;0;1;4;0;0;0;;0;0;;0;0;1;14;0;;
18 Abri.;;0;0;0;0;3;;0;0;;0;;0;0;3;;0;;1;0;0;;0;;;0;0;0;;1;0;;0;1;0;0;0;10;0;0;0;;0;0;;0;0;4;23;0;;
19 Abri.;;0;0;0;0;4;;0;0;;0;;1;0;8;;0;;0;0;1;;0;;;0;0;0;;2;0;;0;2;0;1;0;10;0;0;1;;0;0;;0;0;10;40;0;;
20 Abri.;;0;0;0;0;1;;0;0;;0;;1;0;2;;0;;1;0;1;;0;;;0;0;1;;2;0;;0;4;0;1;0;9;0;0;0;;0;0;;0;0;14;37;0;;
21 Abri.;;0;0;0;0;10;;0;0;;0;;0;0;23;;0;;0;0;4;;0;;;0;0;0;;7;0;;4;2;5;0;2;7;0;0;1;;0;0;;0;0;6;71;1;;
22 Abri.;;0;0;0;0;2;;0;0;;0;;0;0;8;;0;;0;0;3;;0;;;0;0;0;;5;0;;7;3;4;1;1;27;0;0;3;;0;0;;0;0;7;71;0;;
23 Abri.;;0;0;0;0;9;;0;0;;0;;2;0;14;;0;;2;0;3;;0;;;0;0;0;;7;0;;19;2;10;3;1;34;0;0;2;;1;0;;0;0;10;119;0;;
24 Abri.;;0;0;0;0;16;;0;0;;0;;0;0;12;;0;;0;0;1;;1;;;0;0;0;;4;0;;13;5;3;4;1;34;0;1;0;;0;0;;0;0;12;107;1;;
25 Abri.;;0;0;0;0;14;;0;0;;0;;1;0;13;;0;;1;0;4;;0;;;0;0;0;;3;0;;15;2;5;8;1;46;0;0;0;;0;0;;0;0;11;124;1;;
26 Abri.;;0;0;0;0;5;;0;0;;0;;1;0;1;;0;;1;0;3;;0;;;0;0;0;;1;0;;7;1;0;2;1;7;0;0;0;;0;0;;0;0;1;31;0;;
27 Abri.;;0;0;0;0;5;;0;0;;0;;0;0;2;;0;;2;0;1;;1;;;0;0;0;;1;0;;5;4;1;3;0;4;0;0;0;;0;0;;0;0;8;37;0;;
28 Abri.;;0;0;0;0;2;;0;0;;0;;0;0;1;;0;;2;1;2;;0;;;0;0;0;;1;0;;0;1;1;0;1;7;0;0;0;;0;0;;1;0;0;20;0;;
29 Abri.;;0;0;0;0;1;;0;0;;0;;0;0;0;;0;;1;0;2;;0;;;0;0;0;;2;0;;0;1;0;0;1;1;0;0;0;;0;0;;0;0;4;13;1;;
30 Abri.;;0;0;0;0;1;;0;0;;0;;0;0;0;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;1;0;0;1;1;0;0;0;;0;0;;0;0;10;15;0;;
