DONOSTIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,014;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
30 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;5;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5;0;;
31 Ene.;;0;0;17;0;0;;0;0;;0;;0;15;14;;0;;0;0;0;;0;;;0;0;0;;0;0;;64;0;0;0;0;1;0;0;0;;0;0;;0;0;0;111;0;;
1    Feb.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;2;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;;
2   Feb.;;0;0;13;0;0;;0;0;;0;;0;10;1;;0;;0;1;2;;0;;;0;0;0;;0;0;;58;0;0;0;0;0;0;0;0;;0;0;;0;0;0;85;0;;
3   Feb.;;0;0;7;0;0;;0;0;;0;;0;6;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;31;0;0;0;0;0;0;0;0;;0;0;;0;0;0;45;0;;
4   Feb.;;0;0;10;0;0;;0;0;;0;;0;10;5;;0;;0;0;1;;0;;;0;0;0;;0;0;;39;0;0;0;0;0;0;0;0;;0;0;;0;0;1;66;0;;
5   Feb.;;0;0;16;0;0;;0;0;;0;;0;10;10;;0;;0;1;3;;0;;;0;0;0;;0;0;;44;0;0;1;0;0;0;0;1;;0;0;;1;0;0;87;0;;
6   Feb.;;0;0;25;1;0;;0;0;;0;;0;12;25;;0;;0;0;1;;0;;;0;0;0;;0;0;;47;0;0;1;0;0;0;0;1;;0;0;;2;0;2;117;0;;
7   Feb.;;0;0;27;0;0;;0;0;;0;;0;16;24;;0;;0;0;0;;0;;;0;1;0;;0;0;;55;0;0;0;0;0;0;0;2;;0;0;;0;0;0;125;0;;
8   Feb.;;0;0;5;0;0;;0;0;;0;;0;7;0;;0;;0;0;2;;0;;;0;0;0;;0;0;;31;0;0;0;0;0;0;0;1;;0;0;;0;0;1;47;0;;
9   Feb.;;0;0;3;0;0;;0;0;;0;;0;9;1;;0;;0;1;1;;0;;;0;0;0;;0;0;;20;0;0;0;0;0;0;0;7;;0;0;;0;0;0;42;0;;
10 Feb.;;0;0;10;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;10;0;0;0;0;0;0;0;0;;0;0;;0;0;0;22;0;;
11 Feb.;;0;0;1;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;5;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7;0;;
12 Feb.;;0;0;52;0;0;;0;0;;0;;0;19;10;;0;;0;0;2;;0;;;0;0;0;;0;0;;49;0;0;0;0;0;0;0;6;;0;0;;1;0;0;139;0;;
13 Feb.;;0;0;37;0;0;;0;0;;0;;0;10;11;;0;;0;0;1;;0;;;0;0;0;;0;0;;47;0;0;1;1;0;0;0;8;;0;0;;1;0;1;118;0;;
14 Feb.;;0;0;29;0;0;;0;0;;0;;0;14;57;;0;;0;0;6;;0;;;0;0;0;;1;0;;20;0;0;1;1;0;0;0;1;;0;0;;1;0;2;133;1;;
15 Feb.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;5;0;0;0;0;0;0;0;0;;0;0;;0;0;1;7;0;;
16 Feb.;;0;0;50;0;0;;0;0;;0;;0;13;8;;0;;0;0;1;;0;;;0;0;0;;0;0;;88;0;0;0;1;0;0;0;2;;0;0;;1;0;0;164;0;;
17 Feb.;;0;0;60;0;0;;0;0;;0;;0;11;36;;0;;0;0;3;;0;;;0;0;0;;2;0;;31;0;0;1;1;0;0;0;43;;0;0;;5;0;0;193;0;;
18 Feb.;;0;0;5;0;0;;0;0;;0;;0;2;4;;0;;0;0;1;;0;;;0;0;0;;0;0;;3;0;0;1;0;0;0;0;1;;0;0;;0;0;0;17;0;;
19 Feb.;;0;0;12;0;0;;0;0;;0;;0;2;0;;0;;0;0;2;;0;;;0;0;0;;0;0;;12;0;0;0;0;0;0;0;2;;0;0;;1;0;0;31;0;;
20 Feb.;;0;0;59;0;0;;0;0;;0;;0;18;14;;0;;0;0;4;;0;;;0;0;0;;0;0;;91;0;0;1;0;0;0;0;3;;0;0;;4;0;1;195;0;;
21 Feb.;;0;0;13;0;0;;0;0;;0;;0;3;2;;0;;0;1;1;;0;;;0;0;0;;0;0;;25;0;0;1;0;0;0;0;5;;0;0;;2;0;1;54;0;;
22 Feb.;;0;0;23;0;0;;0;0;;0;;0;5;1;;0;;0;0;4;;0;;;0;0;0;;0;0;;49;0;0;0;0;0;0;0;1;;0;0;;0;0;0;83;0;;
23 Feb.;;0;0;64;0;0;;0;0;;0;;0;13;16;;0;;0;0;16;;0;;;0;0;0;;2;0;;26;1;0;1;7;0;0;0;45;;0;0;;1;0;2;194;0;;
24 Feb.;;0;0;54;0;0;;0;0;;0;;0;7;37;;0;;0;0;15;;0;;;0;0;0;;0;0;;104;0;0;2;1;0;0;1;11;;0;0;;2;0;4;238;0;;
